,id,LOCATION,TIME,GENDER,Population (% of total),EDU_TERTIARY_PC_WKGPOP,CPI_AGRWTH,GDP_USD_CAP,GOV_SPEND_EDU,%_Sanitation_Access,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Population ages 00-04 (as % of specified gender population),Population ages 05-09 (as % of specified gender population),Population ages 10-14 (as % of specified gender population),Population ages 15-19 (as % of specified gender population),Population ages 20-24 (as % of specified gender population),Population ages 25-29 (as % of specified gender population),Population ages 30-34 (as % of specified gender population),Population ages 35-39 (as % of specified gender population),Population ages 40-44 (as % of specified gender population),Population ages 45-49 (as % of specified gender population),Population ages 50-54 (as % of specified gender population),Population ages 55-59 (as % of specified gender population),Population ages 60-64 (as % of specified gender population),Population ages 65-69 (as % of specified gender population),Population ages 70-74 (as % of specified gender population),Population ages 75-79 (as % of specified gender population),Population ages 80 and older (as % of specified gender population),TER_Enrolment_rate,"GNI per capita, Atlas method (current US$)",Quality_of_life_measure,HDI,LIFE_SAT,LIFE_SAT_NORM,LIFE_EXP,Numbeo_QoL,Numbeo_QoL_norm
0,1,AUS,1993,MEN,49.78061597,23.508869,1.753653,19929.78137,5.5092201229999995,100.0,,100.0,100.0,100,7.502966324,17220.0,10.55,197804.8632,8.616992278,163236.0,2295520.952,7.4834056129999995,7.526699516,7.3812242789999996,7.674855067,8.114460811,7.977673884,8.245478246000001,7.849938699,7.49696619,6.676346843999999,5.125739145,4.363110006,4.0220966989999996,3.7448203760000003,2.8258243810000003,1.831722778,1.659637465,65.42851257,18930,0.17205486,0.8740000000000001,,,,,
1,2,AUS,1993,WOMEN,50.21938403,21.418512,1.753653,19929.78137,5.5092201229999995,100.0,,100.0,100.0,100,7.502966324,17220.0,10.55,197804.8632,8.616992278,163236.0,2295520.952,7.0509433,7.102381277999999,6.945376672999999,7.259318335,7.834311393999999,7.855363926,8.166468562999999,7.807832488,7.3633313529999995,6.375044441,4.874606841,4.2203684489999995,4.009921935,3.9976844469999997,3.3964826739999996,2.549315275,3.191248631,64.67861938,18930,0.23816051800000002,0.8740000000000001,,,,,
2,3,AUS,1994,MEN,49.76213652,24.40707,1.9696349999999998,21134.14664,5.24751997,100.0,,100.0,100.0,100,7.206735771,17042.0,10.19,193855.20899999997,8.259947162000001,167169.0,2346930.376,7.480330003,7.450865462,7.402881637,7.432177616000001,8.106996514,7.815958319,8.206121882,7.8968341010000005,7.4402573279999995,6.916593099,5.2606454419999995,4.417680882,3.955058372,3.7381310269999997,2.914955581,1.854254581,1.710258155,66.16098022,18890,0.173419078,0.8759999999999999,,,,,
3,4,AUS,1994,WOMEN,50.23786348,21.740088,1.9696349999999998,21134.14664,5.24751997,100.0,,100.0,100.0,100,7.206735771,17042.0,10.19,193855.20899999997,8.259947162000001,167169.0,2346930.376,7.043295761,7.02523012,6.968272705,7.011527837999999,7.8119704070000004,7.702864178,8.134269007,7.848635977000001,7.352637856,6.627318521,5.003436702,4.267954748,3.941136955,3.9424058910000004,3.479800822,2.549258925,3.289983587,66.82418059999999,18890,0.23955789800000002,0.8759999999999999,,,,,
4,5,AUS,1995,MEN,49.75826124,25.825409,4.6277669999999995,22098.57288,5.129049778,100.0,,100.0,100.0,100,7.076343307999999,16631.0,9.62,199700.4005,8.217805732,172805.0,2430093.957,7.43600046,7.38988428,7.399023022000001,7.274438184,8.023981747,7.7090842870000005,8.13121187,7.926613016,7.430363791,7.073719402999999,5.448857846,4.480351371999999,3.926156746,3.71612134,2.9884462739999997,1.905838944,1.7399074159999999,68.70133972,19320,0.17371810199999999,0.885,,,,,
5,6,AUS,1995,WOMEN,50.24173876,22.807888000000002,4.6277669999999995,22098.57288,5.129049778,100.0,,100.0,100.0,100,7.076343307999999,16631.0,9.62,199700.4005,8.217805732,172805.0,2430093.957,6.988262918999999,6.962530902999999,6.965944221,6.845035675,7.71517862,7.6001167579999995,8.069139737,7.879227106,7.373956887,6.808414072000001,5.18576655,4.322439232,3.9060033769999998,3.882737759,3.5361978560000003,2.586106187,3.3729421410000002,71.76708221,19320,0.23877061100000002,0.885,,,,,
6,7,AUS,1997,MEN,49.79890456,23.803526,0.2248875,24160.25514,,100.0,,100.0,100.0,100,7.155548682,17507.0,9.59,233636.4239,9.080243767,182599.0,2573019.293,7.347502822,7.373784097000001,7.31280545,7.032138400000001,7.5760966320000005,7.675186932000001,7.916046061,7.990007679,7.427162159,7.185204806000001,5.971579687999999,4.645555094,3.9393967069999998,3.617377696,3.096862753,2.026713605,1.8665794180000002,77.78109741,21980,0.17527801399999998,0.8909999999999999,,,,,
7,8,AUS,1997,WOMEN,50.20109544,24.797144,0.2248875,24160.25514,,100.0,,100.0,100.0,100,7.155548682,17507.0,9.59,233636.4239,9.080243767,182599.0,2573019.293,6.858163312,6.898407356,6.885733341,6.670825182000001,7.32572123,7.57860829,7.824991152000001,7.924732958,7.43275464,7.010823178,5.701807702999999,4.46252628,3.889002805,3.729180772,3.5518200589999998,2.723370896,3.531530847,83.16678619,21980,0.239343697,0.8909999999999999,,,,,
8,9,AUS,1998,MEN,49.83335691,24.421713,0.8601346,25342.189769999997,,100.0,,100.0,100.0,100,7.029638072999999,16448.0,8.43,224253.203,8.595072811,195019.0,2609090.208,7.224620422999999,7.397131792000001,7.273924743999999,7.02567222,7.244800147,7.723694973,7.717265844,8.059407299,7.460960782999999,7.123291765,6.29852487,4.734440434,4.001132731,3.5548458430000003,3.140296058,2.1272245,1.892765575,61.85060883,21790,0.174626445,0.894,,,,,
9,10,AUS,1998,WOMEN,50.16664309,26.414537,0.8601346,25342.189769999997,,100.0,,100.0,100.0,100,7.029638072999999,16448.0,8.43,224253.203,8.595072811,195019.0,2609090.208,6.729392381,6.883969284,6.836509027000001,6.676688427,7.028945202999999,7.641816886,7.646804272000001,7.958019246,7.47849337,7.020230628999999,6.021525426,4.545056487,3.931565385,3.651983463,3.5312289339999996,2.832631896,3.585139685,75.31597137,21790,0.23762476800000001,0.894,,,,,
