,2000,,2005,,2010,,2011,,2012,,2013,,2014
 Albania,6.4,,6.2,,6.3,,6.3,,6.3,,6.5,,6.4
 Algeria,4.8,,4.8,,5,,5,,5.1,,5.1,,5.1
 Angola,5.6,,6,,6.8,,6.9,,7,,7.2,,
 Antigua and Barbuda,2.3,,2.3,,2.6,,2.6,,2.6,,2.6,,2.6
 Armenia,8.3,,8.9,,8.8,,9.1,,9,,9.1,,8.9
 Australia,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,1.4
 Austria,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,1.4
 Bahamas,,,1.6,,1.6,,1.6,,1.6,,1.6,,1.6
 Bahrain,2,,1.9,,2.2,,2.2,,2.3,,2.3,,2.2
 Bangladesh,8.1,,8.2,,8.4,,8.5,,8.4,,8,,8
 Barbados,2,,2.2,,2.4,,2.3,,2.4,,2.4,,2.4
 Belarus,4.9,,4.5,,4.7,,5.3,,,,,,
 Belgium,1.7,,1.7,,1.7,,1.7,,1.7,,1.7,,1.7
 Belize,3,,2.9,,3.1,,3,,,,,,
 Benin,7.7,,7.6,,7.9,,8.1,,7.9,,8,,8.1
 Bhutan,4.7,,4.5,,4.9,,4.9,,5,,5,,5.1
 Bolivia (Plurinational State of),7.1,,7,,5.5,,5.6,,5.6,,5.8,,5.8
 Bosnia and Herzegovina,,,4.7,,4.8,,4.8,,,,,,
 Botswana,2.9,,2.7,,3,,3,,3,,3,,2.9
 Brazil,2.3,,2.3,,2.4,,2.4,,2.5,,2.6,,2.6
 Brunei Darussalam,2.9,,2.9,,3,,3,,3.1,,3,,3
 Bulgaria,3.5,,3.1,,3.1,,3.1,,3.1,,3.2,,3.2
 Burkina Faso,7.4,,7.7,,8.3,,8.6,,8.6,,8.6,,8.4
 Burundi,7.6,,7.3,,7.4,,7.3,,7.1,,7.2,,7
 Cabo Verde,,,5.7,,5.8,,5.8,,5.8,,5.8,,5.7
 Cambodia,7.1,,7.2,,7.6,,7.7,,7.6,,7.7,,7.8
 Cameroon,7.3,,7.2,,7.7,,7.7,,7.7,,7.9,,7.8
 Canada,1.2,,1.2,,1.2,,1.2,,1.2,,1.3,,1.3
 Chad,6.8,,7.4,,7.6,,8,,,,,,
 Chile,2.2,,2.1,,2.3,,2.4,,2.5,,2.6,,2.6
 China,2.3,,2.5,,2.9,,3.1,,3.1,,3.2,,3.3
 Colombia,2.6,,2.7,,2.8,,2.8,,2.8,,2.8,,2.7
