,2000,,2005,,2010,,2011,,2012,,2013,,2014,
 Afghanistan,,,,,3.5,,4.3,,6.6,,,,,
 Albania,,,5,,4.4,,4.9,,5.5,,4.3,,4,
 Algeria,,,0.6,,0.7,,0.8,,1.3,,1.3,,1.5,
 Andorra,,,,,1.2,,1.2,,0,,0,,0,
 Angola,,,,,,,,,9.8,,,,,
 Antigua and Barbuda,6.4,,3.6,,6.9,,,,11.2,,,,,
 Argentina,,,,,,,,,,,,,7.6,
 Armenia,,,1.9,,1.9,,2.4,,2.2,,2,,,
 Australia,1.9,,1.3,,1.1,,1.1,,1.1,,1.1,,1,
 Austria,1,,0.7,,0.7,,0.9,,1,,0.7,,0.5,
 Azerbaijan,2.8,,2.2,,2.1,,,,2.2,,2.3,,2.5,
 Bahamas,24.8,,15.8,,26.1,,34.6,,29.8,,,,,
 Bahrain,,,0.5,,0.9,,0.5,,,,,,,
 Bangladesh,2.5,,2.5,,2.6,,2.6,,2.6,,2.8,,2.8,
 Barbados,7.4,,10.6,,11.1,,9.6,,7.8,,8.5,,8.8,
 Belarus,10.2,,8.6,,5.1,,3.9,,3.6,,3.5,,3.6,
 Belgium,2.1,,2.1,,1.7,,1.9,,1.8,,1.8,,1.8,
 Belize,16.6,,28.6,,40.1,,37.7,,43.1,,28.8,,34.4,
 Benin,,,,,,,,,6.3,,,,,
 Bhutan,,,,,1.9,,3,,3.9,,2.5,,2.7,
 Bolivia (Plurinational State of),,,7.2,,10.6,,10.2,,12.4,,,,,
 Bosnia and Herzegovina,,,,,1.5,,1.3,,1.6,,1.2,,1.3,
 Botswana,,,15.6,,14.8,,,,,,,,,
 Brazil,,,,,20.9,,21.5,,23.8,,23.6,,24.6,
 Brunei Darussalam,,,0.6,,0.3,,,,,,0.5,,,
 Bulgaria,,,2.6,,2,,1.7,,1.9,,1.5,,1.6,
 Burkina Faso,,,0.6,,0.6,,0.6,,0.7,,,,,
 Burundi,,,,,3.7,,3.6,,4.5,,4,,4,
 Cabo Verde,,,,,8,,10.7,,11.2,,10.6,,,
 Cambodia,,,3.4,,2.3,,1.8,,,,,,,
 Cameroon,,,,,3.5,,2.6,,2.7,,,,,
 Canada,1.6,,1.8,,1.4,,1.5,,1.6,,1.4,,,
 Central African Republic,,,,,,,,,13.2,,,,,
 Chad,,,,,,,,,9.2,,,,,
 Chile,,,3.6,,3.2,,3.7,,2.5,,3.2,,3.6,
 China,,,1.6,,1,,0.9,,0.8,,,,,
 Colombia,65.7,,39.5,,32.7,,34.1,,31.3,,32.6,,27.9,
 Comoros,,,,,,,,,7.8,,,,,
 Congo,,,,,,,,,10.5,,,,,
 Congo (Democratic Republic of the),,,,,,,,,12.5,,,,,
 Costa Rica,6.3,,7.9,,11.6,,10.3,,8.7,,8.7,,10,
 Croatia,2.3,,1.5,,1.4,,1.1,,1.2,,1.1,,0.8,
 Cuba,,,6.1,,4.5,,4.7,,,,,,,
 Cyprus,,,1.9,,0.7,,0.8,,1.9,,1.1,,0.1,
 Czech Republic,1.8,,1.1,,0.1,,0.8,,0.1,,0.9,,0.7,
 Côte d'Ivoire,,,,,,,,,11.4,,,,,
 Denmark,1.1,,0.1,,0.8,,0.8,,0.7,,0.7,,1,
 Djibouti,,,,,,,,,7,,,,,
 Dominica,2.9,,11.3,,21.1,,8.4,,,,,,,
 Dominican Republic,14.1,,25.9,,25,,25.1,,22.3,,,,17.4,
 Ecuador,14.5,,15.4,,17.7,,15.5,,12.5,,11,,8.2,
 Egypt,,,0.7,,2.2,,3.2,,,,,,,
 El Salvador,40.3,,63.5,,66,,72.2,,42.7,,41.3,,64.2,
 Equatorial Guinea,,,,,,,,,3.4,,,,,
 Eritrea,,,,,,,,,9.7,,,,,
 Estonia,10.2,,8.3,,5.3,,4.9,,4.8,,3.9,,3.1,
 Ethiopia,,,,,,,,,8,,,,,
 Fiji,,,,,2.8,,,,3,,,,,
 Finland,2.9,,2.3,,2.2,,2,,1.6,,1.6,,1.6,
 France,1.8,,1.6,,1.3,,1.4,,1.2,,1.2,,1.2,
