,1990,,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014
 Afghanistan,,,,,,,1.7,,1.9,,1.7,,1.3,,1.3,,1.6
 Albania,6.7,,0.9,,0.6,,0.7,,1.5,,2.7,,3.1,,3.6,,3.8
 Algeria,12.1,,14.5,,23.5,,31.5,,19.9,,20.9,,19.4,,18,,14.7
 Angola,39.5,,59.9,,55.2,,43.2,,38.8,,35.3,,28.9,,24.5,,
 Argentina,2.9,,1.7,,3.1,,8.6,,3.9,,4,,3.4,,2.9,,2.7
 Armenia,,,,,0.2,,0.5,,1.8,,2.5,,2.3,,1.8,,1.8
 Australia,2.4,,1.5,,2.4,,3.1,,4.8,,5.1,,3.8,,3.9,,3.3
 Austria,0.1,,0.1,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.1
 Azerbaijan,,,,,43.3,,35.4,,35.7,,33.6,,29.4,,25.8,,19.6
 Bahamas,0.3,,0.2,,0,,0,,0,,0,,0,,0,,0.1
 Bahrain,42.4,,19.6,,26.7,,33.6,,24.4,,29.9,,25.1,,26.4,,
 Bangladesh,2.4,,2.1,,2.1,,3.5,,3.5,,3.4,,3,,2.7,,2.6
 Barbados,0.5,,0.3,,0.5,,0.6,,0.6,,0.8,,0.7,,,,
 Belarus,,,1.1,,2.1,,1.6,,1.1,,1.3,,1.6,,1.5,,1.2
 Belgium,,,,,0,,0,,0,,0,,0,,0,,0
 Belize,0,,0,,0,,0,,7.3,,8.3,,6.2,,5.2,,
 Benin,0.7,,0.5,,0.5,,0.7,,1.3,,1.3,,1.6,,1.4,,1.4
 Bhutan,17.4,,17.6,,11.1,,7.3,,16.4,,15.2,,13.3,,10.8,,16.9
 Bolivia (Plurinational State of),5.9,,3.1,,4.8,,19.7,,12.6,,14.9,,13.6,,13.3,,9.5
 Botswana,0.8,,0.3,,0.7,,2.8,,2.6,,1.9,,1.8,,2,,1.3
 Brazil,2.5,,1.5,,2.3,,3.7,,2.9,,3.2,,3.1,,2.9,,2.5
 Brunei Darussalam,28.1,,20.5,,33.4,,47,,,,,,27.1,,,,
 Bulgaria,0.3,,0.8,,0.5,,0.8,,0.9,,1.3,,1.1,,1,,0.8
 Burkina Faso,1.2,,4.3,,0.8,,3.2,,9.4,,13.2,,13.2,,11.2,,10.9
 Burundi,12.8,,23.6,,14.5,,26.4,,23.7,,23.3,,16.2,,15.6,,13.8
 Cabo Verde,0.3,,0.4,,0.2,,0.3,,0.3,,0.3,,0.4,,0.4,,0.5
 Cambodia,,,8,,1.9,,1.6,,2.4,,2.6,,2.3,,1.8,,2.3
 Cameroon,7.8,,5.2,,9.7,,7.7,,6.1,,6.4,,6.7,,6.3,,5.6
 Canada,2.1,,2,,3.7,,4.3,,2.4,,2.9,,2.5,,2.3,,2.1
 Central African Republic,0,,0,,0,,0,,0.1,,0.1,,0.1,,0.1,,0.1
 Chad,0,,1.3,,2.4,,37.3,,18,,19,,16.4,,14.5,,13
 Chile,6.6,,4.3,,4.8,,8.5,,10.2,,10.2,,9.1,,8.1,,8
 China,5,,2,,2,,3.6,,4.6,,5.7,,3.9,,3.4,,2.3
 Colombia,6.9,,2.6,,5.9,,6.9,,7.5,,10,,8.7,,8.2,,6.8
 Comoros,1.2,,2.9,,2.4,,2.2,,2.8,,2.9,,3.5,,3.4,,3.4
 Congo,38,,51.9,,72.7,,75.4,,64.4,,67.7,,61.5,,49.4,,39.2
 Congo (Democratic Republic of the),5.3,,8.5,,3.4,,14.3,,23.2,,26,,28,,32.8,,31.8
 Costa Rica,1.8,,2.2,,0.7,,0.7,,1.2,,0.8,,0.9,,0.9,,1.2
 Croatia,,,1.3,,1.9,,1.8,,1.5,,1.7,,1.6,,1.4,,1.6
 Cuba,0.6,,0.8,,1.5,,2,,2.6,,3,,,,,,
 Cyprus,0,,0,,0,,0,,0,,0,,0.1,,0,,0
 Czech Republic,,,0,,0.1,,0.1,,0.3,,0.4,,0.2,,0.2,,0.1
 Côte d'Ivoire,0.1,,0.3,,2,,5.2,,5.1,,6.6,,6,,5.2,,4
