Country,1990,,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015
 Afghanistan,11,,23,,,,20,,53,,55,,57,,57,,56,,
 Albania,90,,69,,71,,77,,88,,91,,93,,96,,96,,
 Algeria,59,,58,,65,,79,,97,,100,,,,,,,,
 Angola,10,,,,14,,,,29,,29,,,,,,,,
 Antigua and Barbuda,,,,,78,,,,106,,106,,105,,,,102,,
 Argentina,71,,,,97,,94,,102,,104,,105,,106,,,,
 Armenia,,,,,91,,91,,,,,,,,,,,,
 Australia,,,143,,163,,148,,132,,134,,137,,138,,,,
 Austria,101,,107,,99,,101,,99,,98,,98,,99,,99,,
 Azerbaijan,89,,83,,,,,,99,,100,,100,,102,,103,,
 Bahamas,86,,87,,,,89,,93,,,,,,,,,,
 Bahrain,87,,106,,100,,100,,,,,,,,,,,,
 Bangladesh,20,,,,48,,46,,50,,51,,54,,58,,,,
 Barbados,85,,,,104,,109,,102,,104,,,,,,109,,
 Belarus,97,,93,,,,,,107,,106,,107,,106,,107,,
 Belgium,103,,146,,145,,108,,106,,106,,106,,163,,165,,
 Belize,,,67,,68,,77,,75,,76,,78,,80,,80,,
 Benin,,,,,22,,35,,,,48,,,,54,,54,,
 Bhutan,,,,,30,,46,,66,,70,,74,,77,,84,,
 Bolivia (Plurinational State of),,,,,78,,,,83,,82,,83,,85,,,,
 Bosnia and Herzegovina,,,,,,,,,,,88,,89,,90,,89,,
 Botswana,40,,57,,75,,79,,,,,,83,,84,,,,
 Brazil,,,,,,,101,,,,95,,96,,102,,,,
 Brunei Darussalam,,,,,86,,98,,99,,101,,106,,104,,99,,
 Bulgaria,99,,92,,93,,90,,90,,93,,93,,99,,101,,
 Burkina Faso,7,,,,10,,14,,22,,24,,26,,28,,30,,
 Burundi,5,,,,,,13,,23,,26,,28,,32,,38,,
 Cabo Verde,21,,,,67,,69,,86,,90,,91,,94,,93,,
 Cambodia,,,,,17,,,,,,,,,,,,,,
 Cameroon,25,,26,,27,,27,,,,47,,50,,52,,56,,
 Canada,99,,105,,102,,101,,102,,103,,110,,110,,,,
 Central African Republic,11,,,,,,,,,,18,,17,,,,,,
 Chad,7,,8,,11,,16,,23,,23,,22,,,,,,
 Chile,77,,,,87,,98,,95,,94,,91,,100,,100,,
 China,37,,51,,61,,,,85,,89,,92,,96,,94,,
 Colombia,,,61,,70,,83,,102,,104,,100,,100,,99,,
 Comoros,,,,,,,,,,,,,,,59,,,,
 Congo,48,,,,,,,,,,,,55,,,,,,
 Congo (Democratic Republic of the),,,28,,,,,,39,,41,,41,,41,,44,,
 Costa Rica,44,,50,,64,,84,,102,,105,,108,,115,,120,,
 Croatia,,,82,,86,,93,,101,,100,,100,,,,99,,
 Cuba,89,,76,,83,,93,,92,,92,,92,,93,,100,,
 Cyprus,64,,95,,93,,97,,91,,93,,95,,98,,99,,
 Czech Republic,91,,94,,88,,96,,95,,96,,97,,104,,105,,
 Côte d'Ivoire,,,,,,,,,,,,,,,,,40,,
 Denmark,110,,118,,127,,124,,120,,123,,124,,130,,130,,
 Djibouti,10,,11,,14,,22,,,,39,,43,,45,,46,,47
 Dominica,70,,,,106,,107,,97,,97,,,,,,,,
 Dominican Republic,,,44,,59,,70,,76,,76,,76,,78,,78,,
 Ecuador,58,,,,58,,62,,84,,83,,85,,102,,104,,
 Egypt,75,,72,,81,,,,72,,82,,84,,86,,86,,
 El Salvador,,,,,58,,69,,72,,75,,77,,78,,81,,
 Equatorial Guinea,,,,,31,,27,,,,,,,,,,,,
 Eritrea,,,15,,23,,28,,34,,35,,37,,36,,,,
 Estonia,105,,102,,94,,103,,105,,107,,108,,109,,,,
 Ethiopia,,,11,,14,,25,,35,,36,,36,,,,,,
 Fiji,,,,,78,,,,,,91,,89,,,,,,
 Finland,115,,116,,125,,112,,107,,107,,107,,143,,145,,
 France,97,,114,,109,,112,,111,,111,,112,,111,,111,,
 Gabon,,,42,,,,,,,,,,,,,,,,
 Gambia,17,,23,,,,,,57,,,,,,,,,,
 Georgia,,,77,,79,,82,,,,,,,,98,,99,,
 Germany,,,105,,100,,103,,104,,104,,103,,102,,102,,
 Ghana,36,,36,,41,,47,,,,57,,58,,61,,67,,71
 Greece,95,,92,,90,,100,,105,,103,,105,,108,,,,
 Grenada,91,,,,,,98,,108,,,,,,101,,101,,
 Guatemala,,,25,,36,,50,,63,,64,,64,,64,,64,,
 Guinea,11,,,,,,29,,,,38,,38,,,,39,,
 Guinea-Bissau,,,,,17,,31,,,,,,,,,,,,
 Guyana,,,,,,,97,,89,,92,,89,,,,,,
 Honduras,,,,,,,,,73,,73,,73,,71,,68,,
" Hong Kong, China (SAR)",,,,,,,80,,88,,87,,107,,101,,101,,
 Hungary,87,,89,,96,,96,,100,,101,,102,,108,,107,,
 Iceland,98,,103,,107,,109,,109,,109,,111,,,,,,
 India,,,46,,45,,54,,63,,66,,69,,69,,,,
 Indonesia,47,,48,,55,,60,,77,,79,,80,,82,,82,,
 Iran (Islamic Republic of),53,,71,,79,,76,,82,,85,,88,,87,,88,,
 Iraq,,,,,37,,,,,,,,,,,,,,
 Ireland,94,,109,,99,,110,,123,,122,,126,,,,,,
 Israel,89,,90,,103,,105,,102,,102,,101,,102,,102,,
 Italy,80,,89,,92,,98,,102,,103,,102,,102,,,,
 Jamaica,,,,,86,,91,,93,,93,,,,69,,69,,
 Japan,96,,101,,102,,101,,102,,102,,102,,102,,,,
 Jordan,76,,,,86,,91,,89,,87,,84,,,,,,
 Kazakhstan,100,,,,93,,,,98,,99,,101,,102,,105,,109
 Kenya,,,,,39,,48,,,,,,68,,,,,,
 Kiribati,37,,40,,64,,89,,,,,,,,,,,,
 Korea (Republic of),93,,101,,98,,93,,96,,95,,96,,98,,,,
 Kuwait,78,,88,,99,,110,,94,,93,,93,,93,,94,,
 Kyrgyzstan,102,,87,,84,,86,,83,,87,,,,86,,91,,
 Lao People's Democratic Republic,23,,25,,34,,44,,46,,45,,48,,52,,57,,
 Latvia,95,,89,,91,,104,,98,,99,,99,,110,,115,,
 Lebanon,,,75,,93,,80,,75,,76,,71,,68,,,,
 Lesotho,25,,32,,32,,40,,50,,52,,53,,53,,52,,
 Liberia,,,,,35,,,,,,45,,,,,,38,,
 Libya,,,,,,,95,,,,,,,,,,,,
 Liechtenstein,,,,,,,,,109,,111,,110,,,,116,,
 Lithuania,95,,84,,98,,104,,101,,101,,101,,105,,107,,
 Luxembourg,,,83,,97,,95,,101,,101,,100,,102,,,,
 Madagascar,18,,,,,,21,,,,37,,38,,,,38,,
 Malawi,16,,24,,30,,27,,33,,34,,34,,38,,39,,
 Malaysia,55,,55,,66,,69,,67,,67,,71,,71,,79,,
 Maldives,,,53,,51,,,,,,,,,,,,,,
 Mali,7,,11,,17,,26,,39,,41,,,,41,,44,,
 Malta,83,,88,,91,,102,,98,,86,,86,,85,,85,,
 Marshall Islands,,,,,,,76,,,,,,,,,,,,
 Mauritania,13,,15,,18,,22,,20,,22,,27,,29,,30,,
 Mauritius,52,,,,77,,89,,89,,90,,92,,94,,98,,
 Mexico,53,,57,,70,,79,,83,,84,,85,,87,,91,,
 Micronesia (Federated States of),,,,,,,83,,,,,,,,,,,,
 Moldova (Republic of),94,,82,,82,,88,,88,,88,,88,,88,,87,,
 Mongolia,89,,63,,65,,90,,92,,,,,,,,91,,
 Montenegro,,,,,,,94,,101,,92,,91,,,,,,90
 Morocco,37,,38,,38,,50,,63,,66,,69,,,,,,
 Mozambique,7,,7,,6,,13,,24,,25,,24,,25,,25,,
 Myanmar,19,,27,,36,,44,,48,,,,,,,,51,,
 Namibia,38,,56,,60,,64,,,,,,,,,,,,
 Nauru,,,,,47,,47,,,,,,79,,,,83,,
 Nepal,33,,41,,36,,49,,59,,61,,65,,66,,67,,67
 Netherlands,118,,141,,124,,119,,123,,129,,130,,132,,132,,
 New Zealand,89,,113,,111,,120,,119,,119,,119,,117,,117,,
 Nicaragua,37,,46,,53,,69,,74,,,,,,,,,,
 Niger,6,,,,7,,10,,14,,14,,16,,17,,19,,
 Nigeria,25,,,,24,,35,,44,,,,,,,,,,
 Norway,101,,116,,116,,114,,113,,113,,111,,113,,113,,
 Oman,42,,65,,79,,89,,,,102,,,,,,,,
 Pakistan,22,,,,,,27,,36,,37,,38,,40,,42,,
 Palau,,,,,,,99,,,,,,,,115,,114,,
" Palestine, State of",,,68,,78,,90,,86,,84,,83,,83,,82,,
 Panama,59,,63,,65,,68,,71,,71,,86,,75,,,,
 Papua New Guinea,11,,12,,,,,,,,,,40,,,,,,
 Paraguay,31,,41,,62,,67,,68,,70,,77,,,,,,
 Peru,67,,70,,85,,85,,95,,95,,93,,98,,96,,
 Philippines,72,,77,,,,83,,,,,,,,88,,,,
 Poland,89,,94,,99,,98,,97,,97,,97,,109,,,,
 Portugal,60,,103,,105,,98,,107,,107,,109,,120,,116,,
 Qatar,80,,102,,87,,111,,101,,109,,,,,,,,
 Romania,99,,74,,79,,84,,100,,100,,99,,98,,95,,
 Russian Federation,98,,91,,,,83,,,,92,,96,,99,,101,,
 Rwanda,16,,,,11,,16,,33,,36,,38,,40,,39,,
 Saint Kitts and Nevis,,,,,105,,87,,98,,94,,79,,101,,92,,
 Saint Lucia,49,,,,74,,78,,95,,95,,91,,88,,86,,
 Saint Vincent and the Grenadines,,,,,83,,89,,108,,104,,101,,103,,105,,
 Samoa,,,76,,78,,83,,88,,86,,86,,,,87,,
 San Marino,,,,,,,,,97,,95,,95,,,,,,
 Sao Tome and Principe,,,,,,,43,,53,,51,,59,,66,,77,,85
 Saudi Arabia,,,,,,,86,,,,,,,,108,,108,,
 Senegal,15,,,,16,,22,,36,,40,,,,,,,,
 Serbia,,,,,91,,89,,91,,94,,94,,94,,94,,
