Country,1990,,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015
 Afghanistan,2,,,,,,,,,,4,,,,,,9,,
 Albania,8,,10,,16,,23,,45,,50,,59,,63,,63,,
 Algeria,10,,10,,,,21,,30,,31,,32,,34,,35,,
 Angola,1,,,,,,3,,,,7,,,,10,,,,
 Antigua and Barbuda,,,,,,,,,16,,14,,23,,,,,,
 Argentina,,,,,53,,64,,74,,77,,79,,80,,,,
 Armenia,23,,19,,35,,38,,51,,51,,44,,43,,44,,
 Australia,35,,70,,67,,72,,81,,83,,85,,87,,,,
 Austria,33,,45,,57,,48,,69,,71,,72,,80,,80,,
 Azerbaijan,23,,18,,,,,,19,,20,,20,,21,,23,,
 Bahamas,,,15,,,,,,,,,,,,,,,,
 Bahrain,,,17,,,,26,,,,43,,41,,36,,37,,
 Bangladesh,4,,,,5,,6,,,,13,,13,,,,13,,
 Barbados,17,,,,41,,,,70,,65,,,,,,,,
 Belarus,49,,41,,55,,67,,79,,86,,90,,91,,89,,
 Belgium,38,,54,,58,,61,,68,,70,,71,,72,,73,,
 Belize,,,,,,,16,,22,,22,,24,,24,,,,
 Benin,2,,2,,4,,6,,13,,12,,13,,15,,,,
 Bhutan,,,,,,,5,,7,,9,,9,,11,,,,
 Bolivia (Plurinational State of),,,,,34,,,,,,,,,,,,,,
 Bosnia and Herzegovina,,,,,21,,27,,37,,39,,41,,46,,48,,
 Botswana,,,5,,7,,9,,19,,17,,18,,25,,28,,
 Brazil,,,,,,,26,,,,43,,45,,46,,,,
 Brunei Darussalam,,,,,13,,15,,16,,18,,23,,24,,32,,
 Bulgaria,26,,37,,44,,44,,58,,60,,63,,67,,71,,
 Burkina Faso,1,,1,,,,2,,4,,4,,5,,5,,,,
 Burundi,1,,,,1,,2,,3,,3,,4,,4,,,,
 Cabo Verde,,,,,2,,7,,17,,20,,20,,22,,23,,
 Cambodia,1,,1,,2,,3,,14,,16,,,,,,,,
 Cameroon,3,,,,5,,6,,11,,12,,,,,,,,
 Canada,90,,90,,59,,,,,,,,,,,,,,
 Central African Republic,1,,,,2,,,,3,,3,,3,,,,,,
 Chad,,,,,1,,1,,2,,2,,,,,,3,,
 Chile,,,28,,37,,50,,70,,75,,79,,84,,87,,
 China,3,,4,,8,,19,,24,,25,,27,,30,,39,,
 Colombia,14,,16,,23,,29,,39,,44,,46,,50,,51,,
 Comoros,1,,,,1,,,,6,,8,,9,,9,,9,,
 Congo,5,,,,5,,,,,,9,,10,,10,,,,
 Congo (Democratic Republic of the),2,,3,,,,,,,,8,,8,,7,,,,
 Costa Rica,27,,,,,,,,,,47,,49,,50,,53,,
 Croatia,21,,26,,32,,45,,55,,58,,62,,,,70,,
 Cuba,21,,14,,22,,63,,97,,82,,64,,49,,41,,
 Cyprus,9,,17,,20,,33,,48,,47,,46,,48,,53,,
 Czech Republic,16,,21,,28,,48,,64,,66,,66,,65,,66,,
 Côte d'Ivoire,,,4,,,,,,8,,4,,,,9,,9,,
 Denmark,34,,45,,57,,80,,74,,77,,79,,81,,82,,
 Djibouti,,,,,0,,2,,3,,5,,,,,,,,
 Dominican Republic,,,,,,,,,,,,,47,,,,48,,
 Ecuador,20,,18,,,,,,,,,,40,,40,,,,
 Egypt,15,,,,,,30,,31,,27,,28,,30,,32,,
 El Salvador,16,,22,,22,,23,,26,,28,,29,,29,,29,,
 Equatorial Guinea,,,,,3,,,,,,,,,,,,,,
 Eritrea,,,1,,1,,,,2,,,,,,,,3,,
 Estonia,25,,25,,55,,68,,68,,70,,72,,73,,,,
 Ethiopia,1,,1,,1,,3,,7,,8,,8,,,,8,,
 Fiji,,,,,,,16,,,,,,,,,,,,
 Finland,45,,67,,82,,92,,94,,96,,93,,91,,89,,
 France,37,,50,,54,,55,,57,,58,,60,,62,,64,,
 Gabon,5,,,,,,,,,,,,,,,,,,
 Gambia,,,2,,,,,,2,,3,,3,,,,,,
 Georgia,,,44,,38,,47,,29,,31,,29,,35,,39,,
 Germany,,,45,,,,,,,,,,,,61,,65,,
 Ghana,,,,,,,6,,,,12,,12,,14,,16,,
 Greece,25,,37,,52,,87,,103,,108,,110,,110,,,,
 Guatemala,,,8,,,,,,,,,,,,18,,,,
 Guinea,1,,1,,,,3,,10,,10,,10,,10,,11,,
 Guinea-Bissau,,,,,,,2,,,,,,,,,,,,
 Guyana,6,,9,,,,13,,13,,13,,12,,,,,,
 Honduras,9,,10,,14,,,,21,,,,20,,21,,21,,
" Hong Kong, China (SAR)",,,,,,,32,,58,,61,,61,,67,,69,,
 Hungary,15,,22,,36,,65,,60,,60,,60,,57,,53,,
 Iceland,26,,35,,45,,70,,78,,81,,82,,,,,,
 India,6,,6,,10,,11,,18,,23,,24,,24,,,,
 Indonesia,8,,11,,15,,17,,24,,27,,31,,31,,31,,
 Iran (Islamic Republic of),,,16,,19,,23,,43,,49,,55,,58,,66,,
 Iraq,,,,,12,,16,,,,,,,,,,,,
 Ireland,27,,35,,46,,54,,63,,66,,68,,73,,,,
 Israel,34,,40,,49,,58,,,,66,,68,,66,,66,,
 Italy,30,,42,,49,,64,,66,,66,,65,,63,,,,
 Jamaica,,,,,15,,19,,27,,27,,29,,28,,,,
 Japan,30,,40,,49,,55,,58,,60,,61,,62,,,,
 Jordan,20,,19,,28,,39,,41,,40,,48,,,,,,
 Kazakhstan,39,,35,,32,,,,46,,48,,51,,50,,48,,46
 Kenya,,,,,3,,3,,,,,,,,,,,,
 Korea (Democratic People's Rep. of),,,,,,,,,,,30,,,,,,,,
 Korea (Republic of),37,,49,,78,,90,,100,,100,,97,,95,,,,
 Kuwait,12,,19,,,,,,,,,,,,27,,,,
 Kyrgyzstan,27,,20,,35,,42,,42,,41,,,,47,,46,,
 Lao People's Democratic Republic,1,,2,,3,,8,,16,,17,,17,,18,,17,,
 Latvia,25,,23,,57,,79,,70,,67,,66,,67,,67,,
 Lebanon,,,,,38,,44,,48,,50,,46,,46,,43,,
 Lesotho,1,,2,,2,,4,,,,,,11,,10,,10,,
 Liberia,,,,,19,,,,9,,,,12,,,,,,
 Libya,11,,,,49,,,,,,,,,,,,,,
 Liechtenstein,,,,,,,,,36,,44,,42,,,,37,,
 Lithuania,33,,26,,50,,80,,86,,81,,77,,72,,69,,
 Luxembourg,,,7,,10,,,,18,,,,19,,,,,,
 Madagascar,3,,2,,2,,3,,4,,4,,4,,4,,,,
 Malawi,1,,1,,0,,0,,1,,1,,,,,,,,
